Country,H_HIS_Score_norm,H_Oxrollback_score_norm,H_Covidgrowth_deathsnorm,H_Covidgrowth_casesnorm,H_new_cases_smoothed_per_million_norm,H_new_deaths_smoothed_per_million_norm,H_GovernmentResponseIndexForDisplay_norm,H_INFORM_rating.Value_norm,H_wmo_don_alert,H_health_acaps,H_HIS_Score_raw,H_Oxrollback_score_raw,H_Covidgrowth_biweeklydeaths_raw,H_Covidgrowth_biweeklycases_raw,H_new_cases_smoothed_per_million_raw,H_new_deaths_smoothed_per_million_raw,H_GovernmentResponseIndexForDisplay_raw,H_INFORM_rating.Value_raw,H_wmo_don_alert_raw,H_health_acaps_raw
BDI,9.44,4.299045343275116,6.666666666674814e-4,6.666666666674814e-4,0.13119999999999976,0,9.663076923076924,10,0,0,22.8,0.480634920634923,0.01,0.01,3.28,0,17.19,6.5,0,0
BEL,1.8000000000000007,6.770332000252788,0,4.3365788060651855,3.973519999999999,0.1479999999999997,2.212307692307691,2,0,0,61,0.646087028050672,-58.381292048309966,65.04868209097778,99.338,0.074,65.62,2.8,0,0
BEN,8.24,2.330799837266798,7.779862414008756,0,0,0,5.207692307692308,9.5,0,0,28.8,0.348861309523812,116.69793621013133,-67.88927788502438,0,0,46.15,5.8,0,0
BFA,7.9799999999999995,3.0041812214930994,6.666666666674814e-4,6.666666666674814e-4,0.0027200000000000557,0,6.858461538461539,10,0,0,30.1,0.393944047619048,0.01,0.01,0.068,0,35.42,6.3,0,0
BGD,7,7.0074132043683814,3.4299672765820155,2.426788471534045,2.6704799999999995,2.508,2.4676923076923076,8,0,0,35,0.661959563411487,51.44950914873023,36.40182707301067,66.762,1.254,63.96,5.2,0,0
BGR,4.88,7.3944975376783475,0,0.6184096833616195,0.5065999999999988,1.1920000000000002,3.413846153846154,4.25,0,0,45.6,0.687874775842601,-49.02969371054478,9.2761452504243,12.665,0.596,57.81,3.7,0,0
BHR,6.120000000000001,10,0,0,1.9712800000000001,0.5039999999999996,2.0830769230769244,4.75,0,0,39.4,0.999374637551238,-70.88915223658843,-49.75221029664945,49.282,0.252,66.46,3.9,0,0
BHS,7.88,2.0410675320250613,10,2.1418806120753366,7.3672,10,2.4923076923076923,4.75,0,0,30.6,0.329463794325274,196.14855258779758,32.12820918113004,184.18,6.539,63.8,3.9,0,0
BIH,5.44,8.03729852805764,0,10,0.18636000000000053,0.6099999999999994,5.8015384615384615,5.249999999999999,0,0,42.8,0.730910163180973,-69.21635065964963,189.1254524619386,4.659,0.305,42.29,4.1,0,0
BLR,6.94,5.1846158445270065,0,0.9065433748387068,3.915040000000001,2.056,5.319999999999999,4.5,0,0,35.3,0.539923674241733,-2.094666734455231,13.598150622580619,97.876,1.028,45.42,3.8,0,0
